Day,Subject,Lecturer,Group,Room,Timeslot
Monday,Розробка ПЗ під мобільні платформи(практика),Галавай,МІ-41,704,08:40
Monday,Інформаційні технології(практика),Свистунов,ТТП-41,306,08:40
Monday,Іноземна мова(консультація),Красовська,ТТП-42,204,10:35
Monday,Нейронні мережі(практика),Закала,МІ-41,303,10:35
Monday,Основи комп'ютерної лінгвістики(практика),Тарануха,ТТП-42,303,12:20
Monday,Статистичне моделювання в задачах штучного інтелекту(лекція),Пашко,ТТП-41,235,12:20
Monday,Іноземна мова(консультація),Красовська,ТК-41,233,12:20
Monday,Інформаційні системи(практика),Башук,МІ-41,221,14:05
Monday,Інтелектуальні системи(лекція),Тарануха,ТТП-41,704,14:05
Monday,Інформаційні системи(практика),Мисечко,МІ-42,233,14:05
Tuesday,Інтелектуальні системи(лекція),Тарануха,ТТП-42,306,08:40
Tuesday,Інформаційні технології(лекція),Ткаченко,МІ-42,204,08:40
Tuesday,Теорія прийняття рішень(лекція),Мащенко,ТТП-42,306,10:35
Tuesday,Статистичне моделювання в задачах штучного інтелекту(лекція),Пашко,ТТП-41,704,10:35
Tuesday,Інформаційні технології(лекція),Ткаченко,ТТП-42,204,12:20
Tuesday,Основи управління ІТ-проєктами(лекція),Шишацька,МІ-42,705,12:20
Tuesday,Складність алгоритмів(лекція),Вергунова,ТК-41,308,12:20
Tuesday,Розробка ПЗ(лекція),Крак,МІ-41,309,12:20
Tuesday,Нейронні мережі(лекція),Бобиль,ТТП-41,3,14:05
Tuesday,Основи управління ІТ-проєктами(лекція),Шишацька,ТТП-42,303,14:05
Wednesday,Методи паралельних обчислень(лекція),Дорошенко,ТК-41,221,08:40
Wednesday,Статистичне моделювання в задачах штучного інтелекту(лекція),Пашко,МІ-41,235,08:40
Wednesday,Розробка ПЗ під мобільні платформи(лекція),Ткаченко,ТТП-41,308,10:35
Wednesday,Інтелектуальні системи(лекція),Тарануха,МІ-41,221,10:35
Wednesday,Нейронні мережі(лекція),Бобиль,ТТП-42,43,10:35
Wednesday,Розробка ПЗ під мобільні платформи(лекція),Ткаченко,ТК-41,704,12:20
Wednesday,Розробка ПЗ(лекція),Крак,ТТП-42,308,12:20
Wednesday,Іноземна мова(консультація),Красовська,МІ-41,204,12:20
Wednesday,Інтелектуальні системи(практика),Федорус,ТТП-42,235,14:05
Wednesday,Теорія прийняття рішень(практика),Зінько,МІ-41,233,14:05
Thursday,Теорія прийняття рішень(практика),Зінько,ТК-41,43,08:40
Thursday,Статистичне моделювання в задачах штучного інтелекту(лекція),Пашко,ТТП-42,3,08:40
Thursday,Інформаційні технології(практика),Свистунов,МІ-42,221,10:35
Thursday,Нейронні мережі(практика),Бобиль,ТТП-42,43,10:35
Thursday,Основи управління ІТ-проєктами(лекція),Шишацька,МІ-41,3,10:35
Thursday,Інформаційні системи(практика),Башук,ТК-41,43,12:20
Thursday,Теорія прийняття рішень(лекція),Мащенко,МІ-41,705,12:20
Thursday,Статистичне моделювання в задачах штучного інтелекту(лекція),Пашко,ТТП-41,3,12:20
Thursday,Іноземна мова(консультація),Красовська,ТТП-41,233,14:05
Thursday,Інтелектуальні системи(практика),Федорус,ТТП-42,705,14:05
Friday,Складність алгоритмів(лекція),Вергунова,ТТП-42,233,08:40
Friday,Основи комп'ютерної лінгвістики(лекція),Тарануха,ТТП-41,308,08:40
Friday,Інтелектуальні системи(практика),Мисечко,МІ-42,221,08:40
Friday,Інформаційні системи(практика),Мисечко,МІ-42,43,10:35
Friday,Теорія прийняття рішень(практика),Зінько,ТТП-42,705,10:35
Friday,Інтелектуальні системи(практика),Федорус,ТТП-41,221,10:35
Friday,Розробка ПЗ під мобільні платформи(практика),Криволап,ТК-41,3,10:35
Friday,Інформаційні системи(практика),Башук,ТК-41,306,12:20
Friday,Іноземна мова(консультація),Красовська,ТТП-42,308,14:05
Friday,Розробка ПЗ(лекція),Крак,ТТП-41,221,14:05
